['B', 'O', 'W'], ['G', 'O', 'W'], ['B', 'R', 'W'], ['G', 'R', 'W'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['B', 'R', 'Y'], ['G', 'R', 'Y']|['L inverse', 'R inverse']|['L', 'R']|
['B', 'Y', 'O'], ['G', 'O', 'W'], ['B', 'W', 'O'], ['Y', 'R', 'G'], ['W', 'B', 'R'], ['G', 'O', 'Y'], ['W', 'G', 'R'], ['Y', 'R', 'B']|['L inverse', 'U']|['U inverse', 'L']|
['W', 'G', 'R'], ['G', 'O', 'W'], ['W', 'B', 'R'], ['Y', 'R', 'G'], ['B', 'W', 'O'], ['G', 'O', 'Y'], ['B', 'Y', 'O'], ['Y', 'R', 'B']|['L inverse', 'U inverse']|['U', 'L']|
['B', 'O', 'W'], ['G', 'Y', 'O'], ['W', 'R', 'G'], ['G', 'W', 'O'], ['B', 'O', 'Y'], ['Y', 'B', 'R'], ['W', 'R', 'B'], ['Y', 'G', 'R']|['L inverse', 'D']|['L', 'R', 'F', 'R inverse']|
['R', 'W', 'G'], ['O', 'B', 'W'], ['R', 'Y', 'G'], ['O', 'G', 'W'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'F']|['F inverse', 'L']|
['O', 'G', 'W'], ['R', 'Y', 'G'], ['O', 'B', 'W'], ['R', 'W', 'G'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['L inverse', 'F inverse']|['F', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['R', 'W', 'B'], ['O', 'B', 'Y'], ['R', 'Y', 'B'], ['O', 'G', 'Y']|['L inverse', 'B']|['B inverse', 'L']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['O', 'G', 'Y'], ['R', 'Y', 'B'], ['O', 'B', 'Y'], ['R', 'W', 'B']|['L inverse', 'B inverse']|['B', 'L']|
['G', 'O', 'Y'], ['B', 'O', 'Y'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['G', 'O', 'W'], ['B', 'O', 'W'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'L']|['L inverse', 'R inverse']|
['B', 'O', 'W'], ['G', 'O', 'W'], ['G', 'R', 'Y'], ['B', 'R', 'Y'], ['B', 'O', 'Y'], ['G', 'O', 'Y'], ['G', 'R', 'W'], ['B', 'R', 'W']|['R', 'L inverse']|['L', 'R inverse']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['Y', 'R', 'B'], ['W', 'R', 'B'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['Y', 'R', 'G'], ['W', 'R', 'G']|['R', 'R']|['R', 'R']|
['W', 'O', 'G'], ['Y', 'O', 'G'], ['W', 'R', 'G'], ['Y', 'R', 'G'], ['W', 'O', 'B'], ['Y', 'O', 'B'], ['W', 'R', 'B'], ['Y', 'R', 'B']|['R', 'R inverse']|[]|
['W', 'B', 'O'], ['Y', 'O', 'G'], ['W', 'G', 'O'], ['B', 'R', 'Y'], ['G', 'W', 'R'], ['Y', 'O', 'B'], ['G', 'Y', 'R'], ['B', 'R', 'W']|['R', 'U']
